
Machine Learning Foundations: A Case Study Approach,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/e4/3283d04d0111e5970145eef7ee0b59/gears-818461_1280.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,University of Washington,Average User Rating 4.6See what learners said
Applied Machine Learning in Python,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/f8/d9a0901e1411e6b4be05fc1f155449/python_datascience_thumbnail_machinelearning_1x1.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,University of Michigan,Average User Rating 4.6See what learners said
Data-driven Decision Making,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/e1/34fdb02d0d11e6abe37734764945a3/PwC_fl_c.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,PwC,Average User Rating 4.6See what learners said
Programming Foundations with JavaScript| HTML and CSS,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/1d/9ab6c01a0711e5aafd874ac89d7e65/digital-388075_1280.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,Duke University,Average User Rating 4.5See what learners said
Introduction to Logic,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/41/b6a930581b11e6b0cb5da5ab8b1947/klingon.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,Stanford University,Average User Rating 4.5See what learners said
Think Again I: How to Understand Arguments,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera.s3.amazonaws.com/topics/thinkagain/large-icon.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,Duke University,Average User Rating 4.6See what learners said
Introduction to HTML5,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/32/b88140502611e5bf374909c194f0db/introhtml_thumnail_1x1.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,University of Michigan,Average User Rating 4.7See what learners said
Build Your First Android App (Project-Centered Course),https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/10/d1cb90ad7d11e5b4492be109d39855/moocLogo.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,CentraleSupélec,Average User Rating 4.3See what learners said
Vital Signs: Understanding What the Body Is Telling Us,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/55/8d2e309e6811e3bf47177a6a987fca/Vital-Signs-1.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,University of Pennsylvania,
De-Mystifying Mindfulness,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/3a/b867f06f1c11e69e475d810413efec/DMLOGO.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,Universiteit Leiden,Average User Rating 4.8See what learners said
Divide and Conquer| Sorting and Searching| and Randomized Algorithms,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/21/54dd30f05e11e59bf9d905b70dcbd9/cs161logo2.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,Stanford University,Average User Rating 4.8See what learners said
Modern Art & Ideas,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/65/78ce0081ad11e681d7bb31b0a632ef/starry-night.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,The Museum of Modern Art,Average User Rating 4.6See what learners said
Google Cloud Platform Fundamentals: Core Infrastructure,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/31/8ffb301bf011e79fa2d5b154b6a30b/GCP-Fundamentals-Core-Infra.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,Google Cloud,Average User Rating 4.6See what learners said
Fundamentals of Graphic Design,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/dc/1d37b0e47f11e5a403f7dee24cfcd7/01.FUND_1200-x-1200_logo.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,California Institute of the Arts,Average User Rating 4.7See what learners said
Science of Exercise,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/04/71a6b0423011e7afe52f33f45e3daf/run-2087056__480.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,University of Colorado Boulder,Average User Rating 4.7See what learners said
Fundamentals of Music Theory,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/3c/bae235189d7b003920f00383916814/logo.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,The University of Edinburgh,Average User Rating 4.6See what learners said
Marketing in a Digital World,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/47/63d2208e0e11e78b7307466fdb9f87/Marketing-in-a-Digital-World.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,University of Illinois at Urbana-Champaign,Average User Rating 4.6See what learners said
A Crash Course in Data Science,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/f0/399ec045ea11e5ba8e4bc295fed462/9990024683_955f8f043b_h.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,Johns Hopkins University,Average User Rating 4.4See what learners said
Data Science Math Skills,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/08/8c6610c07e11e6a7f5e70b413367a6/DMSIcon.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,Duke University,Average User Rating 4.4See what learners said
Grammar and Punctuation,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/67/d4fe7008ab11e5bafdef7a396556ec/grammar.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,University of California| Irvine,Average User Rating 4.6See what learners said
Medical Neuroscience,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera.s3.amazonaws.com/topics/medicalneuro/large-icon.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,Duke University,Average User Rating 4.9See what learners said
Sequence Models,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/9e/e957c07be111e79f662ba7081ab510/dlai-logo-final-minus-font-plus-white-backg.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,deeplearning.ai,
Write Professional Emails in English,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/3f/8ec60034c211e69de60937f46833a2/199356_Write_Prof_Emails_Eng.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,Georgia Institute of Technology,Average User Rating 4.6See what learners said
Using Databases with Python,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/9d/172890502911e5827cbbcae1b894c9/pythondatabases_thumbnail_1x1.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,University of Michigan,Average User Rating 4.8See what learners said
Introduction to Programming with MATLAB,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/e1/bd0fa0c1db11e4877b0395f6fe543f/FinalLogo.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,Vanderbilt University,4
Convolutional Neural Networks,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/15/18ed707be211e78f7aa54856df8471/dlai-logo-final-minus-font-plus-white-backg.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,deeplearning.ai,
Calculus One,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-misc.s3.amazonaws.com/flex/calculus1.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,The Ohio State University,4
Cryptography I,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera.s3.amazonaws.com/topics/crypto/large-icon.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,Stanford University,4
Writing in the Sciences,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/15/bfacf07ed011e7923c3da078b81428/images_course_image-stanford.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,Stanford University,4
English Composition I,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/24/3061bb92f2ab2bd892dbf6665dfefd/wordlemap.jpeg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,Duke University,4
Learn to Program: The Fundamentals,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera.s3.amazonaws.com/topics/programming1/large-icon.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,University of Toronto,4
English for Media Literacy,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/de/936280120b11e6b96a858c01f2e6f7/Media-Literacy.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,University of Pennsylvania,4
Design Thinking for Innovation,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/fa/e15e80504811e6bcaf7158d37ab7ca/LightBulb.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,University of Virginia,Introduction to Programming with MATLAB,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/e1/bd0fa0c1db11e4877b0395f6fe543f/FinalLogo.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,Vanderbilt University,Average User Rating 4.8See what learners said
Convolutional Neural Networks,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/15/18ed707be211e78f7aa54856df8471/dlai-logo-final-minus-font-plus-white-backg.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,deeplearning.ai,
Calculus One,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-misc.s3.amazonaws.com/flex/calculus1.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,The Ohio State University,Average User Rating 4.8See what learners said
Cryptography I,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera.s3.amazonaws.com/topics/crypto/large-icon.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,Stanford University,Average User Rating 4.8See what learners said
Writing in the Sciences,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/15/bfacf07ed011e7923c3da078b81428/images_course_image-stanford.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,Stanford University,Average User Rating 4.9See what learners said
English Composition I,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/24/3061bb92f2ab2bd892dbf6665dfefd/wordlemap.jpeg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,Duke University,Average User Rating 4.6See what learners said
Learn to Program: The Fundamentals,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera.s3.amazonaws.com/topics/programming1/large-icon.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,University of Toronto,
English for Media Literacy,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/de/936280120b11e6b96a858c01f2e6f7/Media-Literacy.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,University of Pennsylvania,Average User Rating 4.8See what learners said
Design Thinking for Innovation,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/fa/e15e80504811e6bcaf7158d37ab7ca/LightBulb.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,University of Virginia,Average User Rating 4.6See what learners said
